Month ,nest #,Nest High
Feb,SD10,1.3
Feb,Rec1,1.3
Feb,Rec2,2.5
Feb,Rec3,2
Feb,Rec4,1.5
Mar,ALS16,1.5
Mar,GL10,1.4
Mar,GL11,1.2
Mar,Gl13,3.4
Mar,GL14,2.4
Mar,GL15,4.5
Mar,GL16,2
Mar,GL17,2.5
Mar,GL3,1.4
Mar,GL4,1.7
Mar,GL5,1
Mar,GL6,3
Mar,GL7,3
Mar,GL8,1.2
Mar,GL9,1.2
Mar,JU3,1
Mar,JU4,2
Mar,SD10,1.5
Mar,SD11,1.5
Mar,SD12,2.863636364
Mar,SD3,1.3
Mar,SD4,1.3
Mar,SD5,1.3
Mar,SD6,1.3
Mar,SD7,1.825
Mar,SD8,2.5
Apr,ALS1,3
Apr,ALS10,1
Apr,ALS11,2
Apr,ALS12,1
Apr,ALS13,3.5
Apr,ALS14,3
Apr,ALS16,1.5
Apr,ALS18,0.75
Apr,ALS19,3
Apr,ALS2,1
Apr,ALS21,3
Apr,ALS22,2
Apr,ALS23,1.5
Apr,ALS4,2
Apr,ALS5,0.75
Apr,ALS6,3
Apr,ALS7,4
Apr,ALS8,4
Apr,GL10,1.4
Apr,GL12,4
Apr,Gl13,3.4
Apr,GL14,2.4
Apr,GL15,4.5
Apr,GL19,2.6
Apr,GL20,2
Apr,GL22,3
Apr,GL23,2
Apr,GL24,1
Apr,GL25,0.6
Apr,GL26,2.6
Apr,GL27,3.5
Apr,GL28,1
Apr,GL29,1
Apr,GL3,1.4
Apr,GL30,1
Apr,GL31,2.2
Apr,GL32,0.5
Apr,GL33,1.1
Apr,GL34,2.5
Apr,GL35,2.3
Apr,GL36,1.4
Apr,GL37,2.5
Apr,GL38,2
Apr,GL39,2.3
Apr,GL40,1.7
Apr,GL41,0.4
Apr,GL42,1
Apr,GL43,2
Apr,GL44,3
Apr,GL45,2
Apr,GL47,1.2
Apr,GL48,0.8
Apr,GL5,1
Apr,GL50,1.5
Apr,GL51,1
Apr,GL52,2.3
Apr,GL55,1.2
Apr,GL56,2.8
Apr,GL6,3
Apr,GL7,3
Apr,GL8,1.2
Apr,GL9,1.2
Apr,JU1,1.2
Apr,JU10,1.6
Apr,JU11,0.6
Apr,JU13,3
Apr,JU14,3
Apr,JU15,3
Apr,JU16,1.5
Apr,JU17,2.3
Apr,JU18,0.8
Apr,JU2,0.8
Apr,JU21,1.5
Apr,JU3,1
Apr,JU4,2
Apr,JU5,1.6
Apr,JU6,1.5
Apr,JU7,3
Apr,JU9,1.5
Apr,MP1,1.6
Apr,MP2,1.7
May,ALS18,0.75
May,ALS19,3
May,ALS22,2
May,ALS23,1.5
May,ALS29,1
May,ALS30,2.5
May,ALS32,4
May,ALS33,1
May,ALS35,2.5
May,ALS37,1
May,ALS38,1.5
May,ALS42,4
May,ALS43,3.5
May,ALS45,2
May,ALS48,2.5
May,AlS49,2
May,ALS51,5
May,ALS52,5
May,ALS53,5
May,ALS54,3.5
May,ALS57,3
May,ALS6,3
May,ALS66,6
May,ALS8,4
May,ALS81,1
May,G:51,1
May,GL47,1.2
May,GL48,0.8
May,GL50,1.5
May,GL55,1.2
May,GL56,2.8
May,GL57,3
May,GL58,2.5
May,GL61,1.2
May,GL62,1.1
May,GL64,1.6
May,GL65,1.3
May,GL66,1.3
May,GL70,1.5
May,GL71,4
May,GL72,1.9
May,GL73,2.4
May,GL74,2.6
May,GL75,1.3
May,GL76,1.8
May,GL77,2
May,GL78,2.6
May,GL79,1.8
May,GL80,4
May,GL81,1.7
May,GL82,1.3
May,GL83,2.8
May,JU11,0.6
May,JU17,2.3
May,JU18,0.8
May,JU19,1
May,JU20,1.3
May,JU21,1.5
May,JU22,1.7
May,JU23,1.1
May,JU24,1.5
May,MH1,1.5
May,MH10,3
May,MH11,1
May,MH12,1.67
May,MH13,1
May,MH14,3.5
May,MH15,2
May,MH2,1.6
May,MH3,1
May,MH4,0.67
May,MH5,2
May,MH6,3
May,MH7,2
May,MH8,2
May,MH9,2
May,MP3,1
May,MP4,1.1
May,MP5,3
Jun, MH23,3.5
Jun,ALS101,5
Jun,ALS103,2
Jun,ALS38,1.5
Jun,ALS45,2
Jun,AlS49,2
Jun,ALS54,3.5
Jun,ALS57,3
Jun,ALS66,6
Jun,ALS68,3
Jun,ALS71,1.25
Jun,ALS72,2.5
Jun,ALS73,3
Jun,ALS75,4
Jun,ALS76,2
Jun,ALS77,2
Jun,ALS79,1.5
Jun,ALS80,1
Jun,ALS82,1.5
Jun,ALS83,3
Jun,ALS84,3
Jun,ALS87,2.5
Jun,ALS88,1
Jun,ALS89,2
Jun,ALS93,3
Jun,ALS96,2
Jun,ALS98,1.5
Jun,ALS99,5
Jun,GL100,2.3
Jun,Gl101,2.4
Jun,GL102,3
Jun,GL57,3
Jun,GL81,1.7
Jun,GL84,4
Jun,GL85,2.4
Jun,GL87,3.5
Jun,GL88,2.5
Jun,Gl89,4
Jun,Gl90,4.2
Jun,GL91,3.3
Jun,GL96,4
Jun,GL97,2
Jun,GL98,2.5
Jun,GL99,2.6
Jun,JU25,0.8
Jun,JU26,0.8
Jun,JU27,1.6
Jun,JU34,1.5
Jun,JU35,1.55
Jun,JU36,3
Jun,JU37,2.5
Jun,JU38,2.2
Jun,JU39,1.5
Jun,JU40,1.8
Jun,JU41,2
Jun,JU42,1.8
Jun,JU43,1.6
Jun,JU44,1.8
Jun,JU45,3
Jun,JU46,2.5
Jun,JU47,3
Jun,JU48,3.2
Jun,JU49,3.2
Jun,JU50,2.5
Jun,JU51,0.75
Jun,JU52,1.5
Jun,MH11,1
Jun,MH13,1
Jun,MH14,3.5
Jun,MH15,2
Jun,MH16,1.67
Jun,MH17,1.3
Jun,MH18,2
Jun,MH19,1
Jun,MH20,3.3
Jun,MH21,2.5
Jun,MH22,2
Jun,MH23,3.5
Jun,MH24,2
Jun,MH25,3.3
Jun,MH26,3.3
Jun,MH27,2
Jun,MH28,3.5
Jun,MH6,3
Jun,MP10,5
Jun,MP6,3
Jun,MP7,4.5
Jun,MP8,5.5
Jun,MP9,2.75
Jul,ALS101,5
Jul,ALS103,2
Jul,ALS105,3.5
Jul,ALS107,1
Jul,ALS108,2.5
Jul,ALS109,2
Jul,ALS110,7
Jul,ALS111,1.5
Jul,ALS113,3
Jul,ALS114,4.5
Jul,ALS82,1.5
Jul,ALS83,3
Jul,ALS84,3
Jul,ALS87,2.5
Jul,ALS89,2
Jul,ALS93,3
Jul,ALS96,2
Jul,ALS98,1.5
Jul,ALS99,5
Jul,GL21,4
Jul,GL97,2
Jul,JU34,1.5
Jul,JU35,1.55
Jul,JU39,1.5
Jul,JU40,1.8
Jul,JU45,3
Jul,JU46,2.5
Jul,JU48,3.2
Jul,JU49,3.2
Jul,JU50,2.5
Jul,JU51,0.75
Jul,JU52,1.5
Jul,JU53,3
Jul,JU54,2.5
Jul,JU55,1.7
Jul,JU56,2.5
Jul,JU57,2.7
Jul,JU58,2.5
Jul,JU59,1.8
Jul,MH23,3.5
Jul,MH24,2
Jul,MH25,3.3
Jul,MH26,3.3
Jul,MH27,2
Jul,MH28,3.5
Jul,MH29,1.67
Jul,MH30,2
Jul,MH31,3.5
Jul,MH32,2
Jul,MH33,1.6
Jul,MP11,4
Jul,MP12,5
Jul,MP14,3
Jul,MP15,1.5
Jul,MP16,3
